DATE,Start (ET),AWAY,HOME,Arena
10/22/2024,7:30p,NYK,BOS,TD Garden
10/22/2024,10:00p,MIN,LAL,Crypto.com Arena
10/23/2024,7:00p,IND,DET,Little Caesars Arena
10/23/2024,7:30p,BRK,ATL,State Farm Arena
10/23/2024,7:30p,ORL,MIA,Kaseya Center
10/23/2024,7:30p,MIL,PHI,Wells Fargo Center
10/23/2024,7:30p,CLE,TOR,Scotiabank Arena
10/23/2024,8:00p,CHO,HOU,Toyota Center
10/23/2024,8:00p,CHI,NOP,Smoothie King Center
10/23/2024,9:00p,MEM,UTA,Delta Center
10/23/2024,10:00p,PHO,LAC,Intuit Dome
10/23/2024,10:00p,GSW,POR,Moda Center
10/24/2024,7:00p,BOS,WAS,Capital One Arena
10/24/2024,7:30p,SAS,DAL,American Airlines Center
10/24/2024,10:00p,MIN,SAC,Golden 1 Center
10/24/2024,10:00p,OKC,DEN,Ball Arena
10/25/2024,7:00p,BRK,ORL,Kia Center
10/25/2024,7:00p,PHI,TOR,Scotiabank Arena
10/25/2024,7:30p,CHO,ATL,State Farm Arena
10/25/2024,7:30p,DET,CLE,Rocket Mortgage Fieldhouse
10/25/2024,7:30p,IND,NYK,Madison Square Garden (IV)
10/25/2024,8:00p,MEM,HOU,Toyota Center
10/25/2024,8:00p,CHI,MIL,Fiserv Forum
10/25/2024,9:30p,GSW,UTA,Delta Center
10/25/2024,10:00p,PHO,LAL,Crypto.com Arena
10/25/2024,10:00p,NOP,POR,Moda Center
10/26/2024,5:00p,LAC,DEN,Ball Arena
10/26/2024,7:00p,CLE,WAS,Capital One Arena
10/26/2024,7:00p,BOS,DET,Little Caesars Arena
10/26/2024,7:00p,MIA,CHO,Spectrum Center
10/26/2024,8:00p,ORL,MEM,FedEx Forum
10/26/2024,8:00p,TOR,MIN,Target Center
10/26/2024,8:00p,OKC,CHI,United Center
10/26/2024,8:30p,HOU,SAS,Frost Bank Center
10/26/2024,10:00p,DAL,PHO,Footprint Center
10/26/2024,10:30p,SAC,LAL,Crypto.com Arena
10/27/2024,3:30p,PHI,IND,Gainbridge Fieldhouse
10/27/2024,6:00p,NOP,POR,Moda Center
10/27/2024,6:00p,MIL,BRK,Barclays Center
10/27/2024,7:00p,ATL,OKC,Paycom Center
10/27/2024,8:30p,LAC,GSW,Chase Center
10/28/2024,7:00p,IND,ORL,Kia Center
10/28/2024,7:30p,WAS,ATL,State Farm Arena
